,percent,words
1,,
,0.098921672,president
,0.097995174,against
,0.097548568,york
,0.089805355,season
,0.089426029,since
,0.088231965,qwq
,0.085829342,why
,0.085639863,killed
,0.084897031,crime
,0.083729067,team
2,,
,0.275650851,season
,0.192492531,quarterback
,0.192318094,record
,0.173019563,offense
,0.167466201,defense
,0.161447058,team
,0.132752157,defensive
,0.12860431,players
,0.124069163,offensive
,0.113876915,gargano
3,,
,0.361701029,reilly
,0.240204098,qwq
,0.145973968,gargano
,0.143297637,morones
,0.128387114,officials
,0.124933833,york
,0.124348195,chulpayev
,0.123586507,federal
,0.12348785,company
,0.100835178,moriarty
4,,
,0.577335265,reilly
,0.327870481,qwq
,0.236891923,morones
,0.128282643,moriarty
,0.127906389,border
,0.098738059,gibson
,0.093515055,animals
,0.086863288,begala
,0.086860372,rivera
,0.074883659,rights
5,,
,0.255212223,qwq
,0.170294667,gayle
,0.166563541,king
,0.130985166,richard
,0.125869971,keteyian
,0.122799232,smith
,0.118465855,schlesinge
,0.114879862,war
,0.110277008,erica
,0.108243534,insurance
