,percent,words
1,,
,0.221682001,crime
,0.162623836,weapons
,0.124268476,community
,0.108577294,terrorists
,0.104117704,law
,0.10411306,peace
,0.103981608,which
,0.103653065,nuclear
,0.101919303,against
,0.09989445,iraq
2,,
,0.270998407,crime
,0.223559058,iraq
,0.205607207,weapons
,0.156133857,terrorists
,0.140376871,community
,0.137907671,terror
,0.135791422,nations
,0.124869196,iraqi
,0.122974319,regime
,0.107741036,police
3,,
,0.302766958,weapons
,0.151067236,iraq
,0.146097873,inspectors
,0.127609696,saddam
,0.122234258,hussein
,0.112997858,nuclear
,0.11232712,fight
,0.110023504,crime
,0.092554641,money
,0.088693597,which
4,,
,0.194560362,gun
,0.152980735,thank
,0.144357554,challenge
,0.139956594,something
,0.118832655,crime
,0.111704389,state
,0.109773519,secure
,0.107315779,system
,0.10721783,weapons
,0.106463942,parents
5,,
,0.309996245,challenge
,0.210922836,gun
,0.165488125,which
,0.148027236,peace
,0.137288854,federal
,0.11239684,helping
,0.111568544,crime
,0.109888983,proud
,0.097837154,percent
,0.086116166,schools
